id,name,price,critic_score,user_score,length,genres,num_of_achievements
0,Dark Souls: Remastered,150,84,83,44,11,41
1,Dark Souls III,200,89,90,49,11,43
2,Terraria,46,81,81,102,9,115
3,Baldur's Gate 3,250,96,89,107,8,54
4,Dave the Diver,92,90,83,32,7,43
5,Rust,153,69,65,37,10,92
6,Hollow Knight,68,90,91,42,10,63
7,Portal 2,46,95,89,14,7,51
8,Vampire Survivors,20,86,83,25,9,204
9,Hades,115,93,88,49,9,49
10,Subnautica,139,87,86,43,5,17
11,Dishonored,45,88,83,18,8,80
12,Ori and the Will of the Wisps,108,90,89,16,10,37
13,Inside,72,93,83,4,6,14
14,The Forest,72,83,75,28,9,45
15,Skyrim,90,96,86,114,11,75
16,Teardown,120,80,81,22,6,27
17,Dying Light,90,74,81,36,5,78
18,Enter the Gungeon,68,82,80,62,4,54
19,Payday 3,169,66,31,10,5,22
20,Kao the Kangaroo,129,65,75,8,8,26
21,Assassin's Creed Unity,120,72,56,35,11,57
22,Trials Fusion,80,79,71,23,2,51
23,The Sims 3,28,83,78,78,3,65
24,Titan Souls,68,74,61,4,8,27